ICD1	ICD2	val11	occ1	occ2	NN	pval	bonf_thresh	fdr_thresh
D64	J96	18	192	354	49230	4.764093688190237e-15	5.2659294365455505e-06	0.0006424433912585572
H66	J02	68	1457	786	49230	5.323323311583899e-15	5.2659294365455505e-06	0.0006477093206951027
J86	J90	6	14	58	49230	6.104983092097811e-15	5.2659294365455505e-06	0.0006529752501316482
G82	M67	9	108	58	49230	8.148744840829808e-15	5.2659294365455505e-06	0.0006582411795681938
B37	A09	176	1048	4578	49230	9.3359169692073e-15	5.2659294365455505e-06	0.0006635071090047394
F80	H52	13	211	125	49230	1.1390885493010422e-14	5.2659294365455505e-06	0.0006687730384412849
E84	K74	6	88	11	49230	1.2576773516477566e-14	5.2659294365455505e-06	0.0006740389678778305
E23	E34	9	34	206	49230	1.580070236103393e-14	5.2659294365455505e-06	0.0006793048973143761
B07	B08	25	288	588	49230	1.8667998479056767e-14	5.2659294365455505e-06	0.0006845708267509215
D43	G91	7	19	123	49230	2.511847635122735e-14	5.2659294365455505e-06	0.0006898367561874671
J03	B00	65	1903	581	49230	2.6289711141300045e-14	5.2659294365455505e-06	0.0006951026856240127
B37	H10	39	1048	423	49230	2.8384212195489016e-14	5.2659294365455505e-06	0.0007003686150605582
H69	J35	22	25	8691	49230	3.4862433233157363e-14	5.2659294365455505e-06	0.0007056345444971038
F80	G40	28	211	1089	49230	4.132694295839614e-14	5.2659294365455505e-06	0.0007109004739336494
K21	K29	15	369	127	49230	5.4409180104607817e-14	5.2659294365455505e-06	0.0007161664033701948
K21	K44	8	369	15	49230	5.676854804584846e-14	5.2659294365455505e-06	0.0007214323328067404
F83	F90	10	206	58	49230	5.785309832192986e-14	5.2659294365455505e-06	0.000726698262243286
K02	K05	17	1914	41	49230	6.165039033080554e-14	5.2659294365455505e-06	0.0007319641916798315
H61	H65	58	198	5037	49230	7.558275635627204e-14	5.2659294365455505e-06	0.0007372301211163771
D61	D70	7	29	91	49230	8.79497733053966e-14	5.2659294365455505e-06	0.0007424960505529227
J31	J44	35	441	848	49230	1.1020971396290313e-13	5.2659294365455505e-06	0.0007477619799894682
G81	M62	8	71	71	49230	1.2319440892481604e-13	5.2659294365455505e-06	0.0007530279094260137
H66	L22	60	1457	692	49230	1.9551751559983583e-13	5.2659294365455505e-06	0.0007582938388625592
J12	J20	53	260	3273	49230	2.2619226047882927e-13	5.2659294365455505e-06	0.0007635597682991048
J90	J96	11	58	354	49230	3.832291128224739e-13	5.2659294365455505e-06	0.0007688256977356504
E73	E74	8	72	81	49230	4.1370711572101193e-13	5.2659294365455505e-06	0.0007740916271721959
K56	K59	32	306	1081	49230	4.388154493094364e-13	5.2659294365455505e-06	0.0007793575566087415
H52	H55	8	125	48	49230	4.768771090537498e-13	5.2659294365455505e-06	0.000784623486045287
J18	J96	50	2184	354	49230	5.842507614383579e-13	5.2659294365455505e-06	0.0007898894154818325
H10	L22	30	423	692	49230	6.814387538626811e-13	5.2659294365455505e-06	0.0007951553449183781
K51	K92	6	14	125	49230	7.009154926348447e-13	5.2659294365455505e-06	0.0008004212743549237
J20	J44	114	3273	848	49230	7.140665679264162e-13	5.2659294365455505e-06	0.0008056872037914692
H10	H66	44	423	1457	49230	7.82453123463732e-13	5.2659294365455505e-06	0.0008109531332280148
E66	I10	9	299	36	49230	8.127786081341264e-13	5.2659294365455505e-06	0.0008162190626645604
J20	J96	63	3273	354	49230	8.574595821091677e-13	5.2659294365455505e-06	0.0008214849921011058
M21	M24	6	70	24	49230	8.750991337373763e-13	5.2659294365455505e-06	0.0008267509215376514
J02	A09	136	786	4578	49230	1.1300938688708971e-12	5.2659294365455505e-06	0.000832016850974197
N39	N76	40	2832	193	49230	1.3298342691470712e-12	5.2659294365455505e-06	0.0008372827804107425
N30	N35	8	139	50	49230	1.599962702510183e-12	5.2659294365455505e-06	0.0008425487098472881
G83	M21	6	27	70	49230	1.918133553060567e-12	5.2659294365455505e-06	0.0008478146392838337
